name,person,Text,parent,emotion,Is_Influencer
110,@fuckshacks,Isn't it Canada that you can get into trouble calling someone by the wrong pronoun? Doesn't sound like free speech to me.,47,#8F56BF,0
111,@dbledford13,Love how you’re trying to paint Canada as some kind of Utopia. You guys have quite a track record with stabbings and car massacres. Oh and you can get arrested for “hate speech.” Why do you think that is?,47,#FFA500,0
112,@gritshappen,You know what else you don't have the equivalent to our first amendment.,47,#8F56BF,0
113,@jcinok,You can also be arrested for how and what you speak about. No thanks.,47,#8F56BF,0
114,@DangyrZone,There’s a huge difference in culture between Canada Australia and the US. Also massive difference in population healthcare policing etc. Switzerland does have a militia and liberal gun laws yet nearly zero gun crime.You’re comparing apples and refrigerators here.,47,#FFA500,0
115,@nk_mcc,aren't canadians the ones that can be arrested for saying "i hate muslims",47,#8F56BF,0
116,@suarez1116,Your leader is Justin Trudeau. 😂😂😂,47,#FF4500,0
117,@rob_bristow_CA,He is certainly not doing well.  That doesn't mean though that we see a need to "gun up" to protect ourselves.  Next election is in 2019.  In a democracy that's how you deal with unpopular leaders.,94,#FFA500,0
118,@rob_bristow_CA,Well that's a real crazy statement.  We just had a bunch of protests here in Canada yesterday (Vancouver area ... over the expansion of pipelines).  Both pro and con sides were at it.  No guns.  No violence.  No shots fired.  No arrests.  It's called "democracy",92,#FFA500,0
119,@MelissaFoersch2,You’re literally too crazy to be armed.,92,#FF4500,0
120,@70117pbu,The GOP is working to  ban protests. ICE kidnaps people off the street. Nazis demand white supremacy.Where are the armed vigilantes?,92,#368152,0
121,@BigBrotherNut,Leon I get what you are saying about the 1st and 2nd. IMAGE,92,#FFA500,0
122,@MaryJ2020,Per capita Alberta and BC are far more violent actually. Take out or ghetto crime and America’s is nil comparatively. We don’t even make the top ten for mass shootings.,92,#FFA500,0
123,@majordouche,Glad to see you finally learned to correctly spell that about which you are so concerned,92,#8F56BF,0
124,@rob_bristow_CA,A very clever way to manipulate statistics.  Take out what you don't want to talk about and then compare it to something else.  Complete and utter nonsense.  It's like saying if we exclude everyone over 5'9" I'd be one of the tallest people in the world.,122,#8F56BF,0
125,@MaryJ2020,Since NY “Safe” Act we wake up to ghetto murders every single day now instead of every week. Talk about fudging numbers... “official” reports show no change but residents know even that is a lie. FYI thin blue line is even locked and loaded... #BundyFTW,124,#368152,0
126,@rob_bristow_CA,Why the racial slur "ghetto murders"??  Sandy Hook wasn't in a "ghetto".  Recent Florida shooting wasn't in a "ghetto".  You're profiling to prove a point that isn't even part of the conversation I've been having with @benzt_leon.,125,#FF4500,0
127,@MaryJ2020,Ghetto murders: inner city violence by criminal commies who earn black market money and don’t pay taxes but leech from the system in addition to their cash money. NOT racial mutherfugker... 😡 DONE. I don’t correspond with fascist thought police who can’t form *VALID argument.,126,#8F56BF,0
128,@70117pbu,Those ghetto people are citizens. Abused and neglected but citizens.,122,##4E5DAF,0
129,@dqwan30,You can also get arrested for “hate speech” and your healthcare system is running out of money,118,#FFA500,0
130,@Slinguist,If by “healthcare system” u mean profuse handing out as palliative measure of prescriptns to opioids known to cause addictn & death bcs majority of ppl in US suffering health issues hv no access or means to pay for outrageously costly appropriate care...I guess US is doing fine,129,#8F56BF,0
131,@rob_bristow_CA,Yes we do have hate speech laws in Canada.  It is used very rarely and only in cases where people make direct threats to a racial or linguistic group.  It's actually a good thing.  Not sure which clown told you our health care system was broke.  It's just fine thanks 😊,129,#8F56BF,0
132,@BeyondPhere,And you can get arrested for saying the wrong thing at an airport and your healthcare has people dying in the streets. Huh . . .,129,#8F56BF,0
133,@dqwan30,Mainly because our healthcare system took the dust due to trying to make it single payer *cough* Obamacare,130,#8F56BF,0
134,@bentz_leon,Well fortunately your leaders respect democracy......for right now.  Leadership changes,118,#8F56BF,0
135,@zatothemfk,When Canada and Australia undertake an armed revolution to establish their freedom fight two wars to defend it and then fight another to keep it together then they can weigh in on the topic in an informed sense.  Until then they don’t have the capacity to “get it.”,118,#8F56BF,0
136,@cunninghammeli1,Yet did you see what happened to the protesters at #NoDAPL?  Shot at arrested beat.,118,#8F56BF,0
137,@TheOilMan12,Good for you enjoy Canada. This is America do you we'll do us. We enjoy our freedoms here. How's the poutine?,118,#8F56BF,0
138,@felixpadilla412,GIF,118,#8F56BF,0
139,@LMii23,The US isn't a democracy. It is a Constitutional Republic designed to protect citizens liberties. It's designed with certain checks and balances in place to ensure freedom. The 2A is one of those checks. You can't compare the US to lesser nations like Canada and Australia.,118,#8F56BF,0
140,@WeimLife,I’m glad all people from Canada are sane law abiding citizens.  I hate our guns and how they make Americans crazy. Canada must be very proud of their zero crime rate.,118,#9ACD32,0
141,@Slinguist,“lesser” 😂😂😂😂,139,#E4FC74,0
142,@JimHanc54721177,Lol I see what you did there.,140,#E4FC74,0
143,@rob_bristow_CA,Zach your ignorance of history is appalling.  FYI we were in the battlefield with our allies in both WWI and WWII.  We were in Korea and Afghanistan (not Iraq... that was your shit show).  We've done peace keeping all over the world.  Suggest you get "informed" bud ...,135,#8F56BF,0
144,@rob_bristow_CA,Oh by the way ... the Aussies were there beside all of us as well.,143,#8F56BF,0
145,rob_bristow_CA,That's in the US not Canada.  The point we are debating is the need for guns to defend freedom of speech.  We have gun control and (mostly) peaceful protest.  US has free for all with guns and people get shot at. Mmm ... wonder if there's a connection there??,136,#8F56BF,0
146,@rob_bristow_CA,Best poutine is actually in Montreal although I highly recommend the stiff at the Sugar Shack in 70 Mile House).  Me I prefer cedar plank salmon with a maple syrup glaze.  Really nice 😉,137,#E4FC74,0
147,@rob_bristow_CA,For the last 150 years.  It's part of our culture and who we are.  The only time out gun laws become an issue is when one of the NRA quacks come up here to speak.  Fortunately they always leave very unhappy 'cause no one wants to hear their message.,134,#E4FC74,0
148,@WhiskeyChipsNE,Not going to argue with you on gun control but please don’t use your embrassment of a country as a good example. Free speech is dying by he minute in Canada.,147,#8F56BF,0
