name,User,Text,parent,emotion,Is_Influencer
56,@jcksn98,GIF,55,#E4FC74,0
57,@Zubzie3,GIF,56,#E4FC74,0
58,@Kellyvanderlin4,GIF,57,#E4FC74,0
59,@irishemonaeva,GIF,58,#E4FC74,0
60,@Prvcedures,Emma is a treasure,52,#E4FC74,0
61,@SirHaakon,You want to take her up on a proofreading position but make a mistake in your very first sentence to her?  Hint: question marks are for questions.,43,#8F56BF,0
62,@meganflockhart,GIF,61,#E4FC74,0
63,@Raffdrinath,Is that you in your photo!? #DeadRinger,43,#FFA500,0
64,@totalbutthead,Then you should know that your first sentence isn't a question 😉,43,#8F56BF,0
65,@liagams,GIF,43,???,0
66, @meganflockhart,Yes it's me 😂 thank you it's a very flattering compliment!,63,#9ACD32,0
67,@fleedomsocks,I don't see any apostrophes here.,43,#FFA500,0
68,@rakeshk148,CooL 👍,43,#9ACD32,0
69,@ebfilmz,My God you’re stupid,52,#8F56BF,0
70,@MitchDorty,Apostrophe's*,1,#E4FC74,0
71,@HPLibraryNerd,I hope you're joking...,70,#FFA500,0
72,@BrionyErwood,Lol it is you're not your.,70,#FFA500,0
73,@mike_levitt,Ha ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha  ha ha ha !,70,#E4FC74,0
74,@MitchDorty,Your*,71,#FFA500,0
75,@HPLibraryNerd,I really hope all 86 of those likes are people appreciating your humor not those who think that it's grammatically correct....,74,#FFA500,0
76,@MitchDorty,gosh i hope so,75,#FFA500,0
77,@HPLibraryNerd,GIF,74,#FFA500,0
78,@KarenCouture10,GIF,74,Joke,0
79,@CygalDaria,You're*,74,#FFA500,0
80,@michaelcbdavid,Dunno why but this mini thread made me think of you @MichaelCornetto,78,#E4FC74,0
81,@batb_1c,*Your*,74,#E4FC74,0
82,@HPLibraryNerd,***yo*u're***,81,#E4FC74,0
83,@imheretostan,She was correct. Congratulations you played yourself,74,#FFA500,0
84,@MartyestMarty,No no she's right. You're as in you are wrong sir.,74,#FFA500,0
85,@CxmeronO,It's also a joke,84,#FFA500,0
